Year,June: BOB,June: AS,June: LAND,June: TOTAL,July: BOB,July: AS,July: LAND,July: TOTAL,August: BOB,August: AS,August: LAND,August: TOTAL,September: BOB,September: AS,September: LAND,September: TOTAL,June - September: BOB,June - September: AS,June - September: LAND,June - September: TOTAL
1891,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1892,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,3
1893,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,4
1894,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4
1895,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,3
1896,2,0,0,2,2,0,0,2,1,0,0,1,1,0,0,1,6,0,0,6
1897,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,2
1898,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,3
1899,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1900,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,3,0,0,3
1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2
1903,0,1,0,1,1,1,0,2,1,0,0,1,0,0,0,0,2,2,0,4
1904,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1905,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,3
1906,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3
1907,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
1908,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,3
1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
1911,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2
1912,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,2
1913,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,4,0,0,4
1914,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
1915,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,3
1916,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2
1917,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2
1920,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1921,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2
1925,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1926,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,3,2,1,2,5
1927,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2
1928,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3
1929,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,3,1,0,4
1930,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,3
1931,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1933,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,3
1934,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1935,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2
1936,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3
1937,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,3
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,2,3
1940,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,3,0,0,3
1941,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,4,0,0,4
1942,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2
1943,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,3,0,0,3
1944,0,0,0,0,2,0,0,2,1,0,1,2,0,0,0,0,3,0,1,4
1945,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1946,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1947,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2
1948,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,3
1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2
1951,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1952,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1955,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2
1956,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1957,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,1,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,3,1,0,4
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,2
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2
1969,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1970,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2
1971,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2
1972,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,2,0,1,3
1973,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2
